time,commit,label,server,scenario,metric,value
2026-09-26T08:02:16,23568de,baseline,roc,pingpong_1,requests_per_sec,67464
2026-09-26T08:02:16,23568de,baseline,roc,pingpong_1,p50_us,14
2026-09-26T08:02:16,23568de,baseline,roc,pingpong_1,p99_us,23
2026-09-26T08:02:16,23568de,baseline,roc,pingpong_1,errors,0
2026-09-26T08:02:16,23568de,baseline,roc,pingpong_1,rss_mib,2.3
2026-09-26T08:02:16,23568de,baseline,roc,pingpong_1,server_survived,True
2026-09-26T08:02:16,23568de,baseline,roc,pingpong_1,cpu_us_per_op,4.82
2026-09-26T08:02:16,23568de,baseline,roc,pingpong_64,requests_per_sec,164415
2026-09-26T08:02:16,23568de,baseline,roc,pingpong_64,p50_us,380
2026-09-26T08:02:16,23568de,baseline,roc,pingpong_64,p99_us,474
2026-09-26T08:02:16,23568de,baseline,roc,pingpong_64,errors,0
2026-09-26T08:02:16,23568de,baseline,roc,pingpong_64,rss_mib,3.9
2026-09-26T08:02:16,23568de,baseline,roc,pingpong_64,server_survived,True
2026-09-26T08:02:16,23568de,baseline,roc,pingpong_64,cpu_us_per_op,12.08
2026-09-26T08:02:16,23568de,baseline,roc,bulk_1,mib_per_sec,1807.5
2026-09-26T08:02:16,23568de,baseline,roc,bulk_1,errors,0
2026-09-26T08:02:16,23568de,baseline,roc,bulk_1,rss_mib,2.3
2026-09-26T08:02:16,23568de,baseline,roc,bulk_1,server_survived,True
2026-09-26T08:02:16,23568de,baseline,roc,bulk_1,cpu_us_per_op,557.7
2026-09-26T08:02:16,23568de,baseline,roc,bulk_16,mib_per_sec,1345.4
2026-09-26T08:02:16,23568de,baseline,roc,bulk_16,errors,0
2026-09-26T08:02:16,23568de,baseline,roc,bulk_16,rss_mib,4.9
2026-09-26T08:02:16,23568de,baseline,roc,bulk_16,server_survived,True
2026-09-26T08:02:16,23568de,baseline,roc,bulk_16,cpu_us_per_op,942.22
2026-09-26T08:02:16,23568de,baseline,roc,churn_32,conns_per_sec,38333
2026-09-26T08:02:16,23568de,baseline,roc,churn_32,errors,0
2026-09-26T08:02:16,23568de,baseline,roc,churn_32,rss_mib,3.7
2026-09-26T08:02:16,23568de,baseline,roc,churn_32,server_survived,True
2026-09-26T08:02:16,23568de,baseline,roc,churn_32,cpu_us_per_op,31.66
2026-09-26T08:02:16,23568de,baseline,roc,hold_5000,max_open_conns,1024
2026-09-26T08:02:16,23568de,baseline,roc,hold_5000,hit_limit,True
2026-09-26T08:02:16,23568de,baseline,roc,hold_5000,rss_mib,0.0
2026-09-26T08:02:16,23568de,baseline,roc,hold_5000,server_survived,False
2026-09-26T08:02:16,23568de,baseline,threads,pingpong_1,requests_per_sec,68777
2026-09-26T08:02:16,23568de,baseline,threads,pingpong_1,p50_us,14
2026-09-26T08:02:16,23568de,baseline,threads,pingpong_1,p99_us,20
2026-09-26T08:02:16,23568de,baseline,threads,pingpong_1,errors,0
2026-09-26T08:02:16,23568de,baseline,threads,pingpong_1,rss_mib,1.6
2026-09-26T08:02:16,23568de,baseline,threads,pingpong_1,server_survived,True
2026-09-26T08:02:16,23568de,baseline,threads,pingpong_1,cpu_us_per_op,4.44
2026-09-26T08:02:16,23568de,baseline,threads,pingpong_64,requests_per_sec,166122
2026-09-26T08:02:16,23568de,baseline,threads,pingpong_64,p50_us,377
